seed,ok,returncode,elapsed_sec,reused,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
101,True,0,2.969,False,22,-5000,58,Old linromlor Tribe,100,Cordage and Knots,119,Native Copper Working,-5000,28,Old romvialinia Tribe,1841,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_search_smoke/seed_101,
108,True,0,2.809,False,22,-5000,58,North quisolia Tribe,100,Cordage and Knots,119,Native Copper Working,-5000,28,Marteria Tribe,1747,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_search_smoke/seed_108,
