year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-5000,17677650,17677650,357532.91686400014,290753.68191900005,54857
-4990,18921758,18921758,315205.29504200019,2740404.1413089987,54964
-4980,20151255,20151255,330631.98051600007,5347355.5214529987,55058
-4970,21136861,21136861,341346.57667600014,8050631.8087050049,55111
-4960,21888860,21888860,342974.87458500004,10787817.190321006,55111
-4950,22513103,22513103,343883.014494,13530623.510176998,55130
-4940,23076358,23076358,347266.04990000016,16286540.433404995,54874
-4930,23655484,23655484,350090.07350999996,19061227.171474997,54894
-4920,24210301,24210301,352734.68070399977,21849543.217545003,54918
-4910,24720127,24720127,343928.4095089999,24552629.461019006,54929
-4900,25190954,25190954,349946.98375299992,27306032.514191996,54931
-4890,25701766,25701766,359629.5427889998,30124403.121342991,54959
-4881,26123049,26123049,362832.38724800001,32697665.418479003,54959
