year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-5000,5748902,5748902,63075.571122543828,37050.642593562436,16555
-4990,6207941,6207941,46579.219531282928,326543.03666396701,16872
-4980,6646932,6646932,51305.80352019352,641143.67654757632,17157
-4970,7017641,7017641,52106.30719930958,973300.79058544815,17294
-4960,7342902,7342902,52484.843113840856,1311191.3310299278,16824
-4950,7583428,7583428,52259.710385567523,1644538.1609514626,16969
-4940,7794784,7794784,56205.832703552711,1976982.6530558497,17134
-4930,8004654,8004654,50774.950595432012,2290302.0713835899,17249
-4920,8223228,8223228,48596.987930520801,2610435.8145020502,17350
-4910,8432316,8432316,51008.655005282562,2935851.1792365466,17417
-4900,8632281,8632281,51896.638905720014,3266628.301248075,17458
-4890,8855868,8855868,47651.385829463594,3571359.2532034344,17552
-4880,9082575,9082575,52124.114734675488,3882555.4318044679,17621
-4870,9307729,9307729,56646.477940342476,4203657.9315666966,17691
-4860,9529993,9529993,55064.096933313718,4532365.5022844374,17737
-4850,9751752,9751752,62204.419491132438,4866628.9483926939,17772
-4840,9975990,9975990,57023.488913707784,5206536.2661920721,17795
-4830,10198699,10198699,56652.294903899397,5553284.9143864028,17805
-4820,10431973,10431973,55638.175161698913,5904138.2314054789,17823
-4810,10669043,10669043,58478.578347250157,6261998.2937318897,17858
-4800,10891940,10891940,57743.138544018257,6628580.9342998294,17878
-4790,11116547,11116547,58978.055290125834,7003129.9357418437,17912
-4780,11348286,11348286,60128.653490434117,7386420.9601121191,17946
-4770,11588567,11588567,61511.288753666835,7778174.2646448547,17972
-4760,11584556,11584556,61581.716808745012,8170406.8272629911,17827
-4750,11729695,11729695,62268.201483952267,8567946.4036502615,17857
-4740,11842685,11842685,63302.601493607646,8973365.7648476064,17892
-4730,12037878,12037878,64382.905698535098,9385669.2211614344,17927
-4720,12292846,12292846,65580.580813740249,9805779.5714121461,17958
-4710,12479472,12479472,66450.036127928091,10233537.421231175,17984
-4701,12647342,12647342,66083.07273923319,10630565.19573288,18014
