year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-5000,5748902,5748902,63075.571122543828,37050.642593562436,16555
-4990,6207941,6207941,46579.219531282928,326543.03666396701,16872
-4980,6646932,6646932,51305.80352019352,641143.67654757632,17157
-4970,7017641,7017641,52106.30719930958,973300.79058544815,17294
-4960,7342902,7342902,52484.843113840856,1311191.3310299278,16824
-4950,7583428,7583428,52259.710385567523,1644538.1609514626,16969
-4940,7794784,7794784,56205.832703552711,1976982.6530558497,17134
-4930,8004654,8004654,50774.950595432012,2290302.0713835899,17249
-4920,8223228,8223228,48596.987930520801,2610435.8145020502,17350
-4910,8432316,8432316,51008.655005282562,2935851.1792365466,17417
-4900,8632281,8632281,51896.638905720014,3266628.301248075,17458
-4890,8855867,8855867,47651.360400540056,3571359.274110957,17552
-4880,9082573,9082573,52124.085544463764,3882555.5469336943,17621
-4870,9307726,9307726,56646.432317911975,4203657.9923811788,17691
-4860,9529988,9529988,55064.077749433141,4532365.5405473001,17737
-4850,9751748,9751748,62204.908983711968,4866628.9198375028,17772
-4840,9975987,9975987,57023.486510393996,5206536.268536048,17795
-4830,10198698,10198698,56652.286250643214,5553284.8390811691,17805
-4820,10431972,10431972,55638.167167078689,5904138.1963477181,17823
-4810,10669043,10669043,58478.549531876226,6261998.2822123924,17858
-4800,10891940,10891940,57743.138193526946,6628580.9604661129,17878
-4790,11116547,11116547,58978.054536424643,7003129.8623190867,17912
-4780,11348287,11348287,60128.631024977447,7386421.0497353394,17946
-4770,11588568,11588568,61511.301002308806,7778174.2803236414,17972
-4760,11584556,11584556,61581.691943102334,8170406.9086498907,17827
-4750,11729694,11729694,62268.200651004365,8567946.4464989416,17857
-4740,11842684,11842684,63302.615106188387,8973365.9028486907,17892
-4730,12037878,12037878,64382.896888351352,9385669.4242164325,17927
-4720,12292846,12292846,65580.583229180862,9805779.6914222054,17958
-4710,12479472,12479472,66450.023954609947,10233537.605357997,17984
-4701,12647343,12647343,66083.088512049071,10630565.394107835,18014
