seed,ok,returncode,elapsed_sec,reused,final_year,final_live_countries,final_stable_countries,final_low_stability_countries,final_low_legitimacy_countries,final_low_both_countries,final_critical_countries,final_pop_low_stability_share,final_pop_low_legitimacy_share,final_pop_low_both_share,final_pop_critical_share,final_stability_mean,final_stability_p10,final_legitimacy_mean,final_legitimacy_p10,max_pop_low_stability_share,max_pop_low_legitimacy_share,max_pop_critical_share,max_low_stability_countries,max_low_legitimacy_countries,top_low_stability_causes,top_low_legitimacy_causes,top_low_state_countries,run_dir,reason
8,True,0,2.046,False,-4950,100,69,8,16,8,10,0.017567,0.052054,0.017567,0.040643,0.90284,0.45339,0.685554,0.2608,0.018532,0.052054,0.040643,8,16,"[{""name"": ""budget"", ""count"": 17}]","[{""name"": ""budget"", ""count"": 26}, {""name"": ""economy"", ""count"": 13}]","[{""country_index"": ""64"", ""hits"": 5}, {""country_index"": ""37"", ""hits"": 4}, {""country_index"": ""55"", ""hits"": 4}, {""country_index"": ""98"", ""hits"": 4}, {""country_index"": ""100"", ""hits"": 3}, {""country_index"": ""12"", ""hits"": 3}, {""country_index"": ""50"", ""hits"": 3}, {""country_index"": ""102"", ""hits"": 2}]",/mnt/c/WS/WorldSimulation10028/out/state_diag_batch_smoke/seed_8,
41,True,0,2.246,False,-4950,106,65,10,26,10,10,0.017083,0.126077,0.017083,0.030975,0.868328,0.4217,0.641857,0.24945,0.022718,0.126077,0.030975,10,26,"[{""name"": ""budget"", ""count"": 17}, {""name"": ""control"", ""count"": 2}, {""name"": ""stagnation"", ""count"": 1}]","[{""name"": ""budget"", ""count"": 35}, {""name"": ""economy"", ""count"": 19}]","[{""country_index"": ""47"", ""hits"": 5}, {""country_index"": ""97"", ""hits"": 5}, {""country_index"": ""45"", ""hits"": 4}, {""country_index"": ""64"", ""hits"": 4}, {""country_index"": ""81"", ""hits"": 4}, {""country_index"": ""100"", ""hits"": 3}, {""country_index"": ""88"", ""hits"": 3}, {""country_index"": ""101"", ""hits"": 2}]",/mnt/c/WS/WorldSimulation10028/out/state_diag_batch_smoke/seed_41,
