year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,97,59,0,0,0,0,28229889.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998163,0.997480,0.614039,0.569160,20:0.987;60:0.988;80:0.988;0:0.989;38:0.997,32:0.549;1:0.550;87:0.551;89:0.555;26:0.556
-4950,104,66,9,24,9,10,37295998.000000,729252.000000,4633994.000000,729252.000000,1859768.000000,0.019553,0.124249,0.019553,0.049865,0.887349,0.425460,0.647282,0.206190,64:0.004;38:0.005;50:0.111;100:0.264;63:0.324,50:0.005;64:0.005;38:0.007;63:0.009;98:0.011
-4900,121,51,29,60,29,33,42817359.000000,3396519.000000,10155972.000000,3396519.000000,4894206.000000,0.079326,0.237193,0.079326,0.114304,0.704847,0.130000,0.514196,0.011700,64:0.004;98:0.004;50:0.005;55:0.005;63:0.005,64:0.004;98:0.005;50:0.007;63:0.007;55:0.007
-4850,127,50,38,71,38,47,48322704.000000,4533706.000000,14922644.000000,4533706.000000,9123227.000000,0.093821,0.308812,0.093821,0.188798,0.652807,0.006800,0.465124,0.010760,64:0.004;98:0.005;50:0.005;106:0.006;55:0.006,64:0.005;50:0.008;98:0.008;99:0.008;103:0.009
-4800,130,51,49,71,49,58,53953305.000000,6354716.000000,12238177.000000,6354716.000000,9395410.000000,0.117782,0.226829,0.117782,0.174140,0.614929,0.006690,0.446810,0.011180,64:0.004;98:0.005;103:0.006;106:0.006;108:0.006,64:0.006;98:0.007;103:0.008;63:0.009;55:0.010
-4750,135,50,56,78,56,66,59648177.000000,6769134.000000,13342604.000000,6769134.000000,9810334.000000,0.113484,0.223688,0.113484,0.164470,0.570344,0.006880,0.415496,0.012020,98:0.006;106:0.006;50:0.006;108:0.006;4:0.006,98:0.010;50:0.010;63:0.010;55:0.011;4:0.011
-4700,150,47,66,97,66,77,65757500.000000,6928973.000000,16065167.000000,6928973.000000,11689994.000000,0.105372,0.244309,0.105372,0.177774,0.538681,0.007390,0.382561,0.012400,98:0.005;64:0.005;50:0.006;108:0.006;4:0.006,98:0.008;99:0.009;118:0.009;64:0.010;50:0.010
-4650,155,50,68,98,68,77,72606436.000000,7100711.000000,17112527.000000,7100711.000000,11330227.000000,0.097797,0.235689,0.097797,0.156050,0.545150,0.007440,0.384703,0.012500,64:0.006;98:0.006;108:0.006;4:0.006;101:0.006,98:0.009;64:0.010;4:0.010;118:0.010;55:0.010
-4600,159,51,71,96,71,78,80087863.000000,8033098.000000,14026608.000000,8033098.000000,10190016.000000,0.100304,0.175140,0.100304,0.127235,0.547806,0.007580,0.392516,0.012500,98:0.005;50:0.006;64:0.006;108:0.006;4:0.006,50:0.009;98:0.009;118:0.009;64:0.010;55:0.011
-4550,161,53,77,103,77,83,87597030.000000,8554971.000000,14373307.000000,8554971.000000,12174778.000000,0.097663,0.164084,0.097663,0.138986,0.533668,0.007500,0.382313,0.012600,64:0.006;98:0.006;108:0.006;50:0.006;4:0.006,64:0.010;98:0.010;118:0.010;55:0.011;50:0.011
-4500,165,51,79,112,79,93,94548546.000000,9189143.000000,18297312.000000,9189143.000000,12814629.000000,0.097190,0.193523,0.097190,0.135535,0.507000,0.007600,0.357742,0.013000,64:0.006;98:0.006;50:0.006;4:0.006;55:0.006,64:0.010;98:0.010;55:0.011;50:0.011;4:0.011
-4450,171,50,85,117,85,90,101408020.000000,9116607.000000,19878347.000000,9116607.000000,12598079.000000,0.089900,0.196023,0.089900,0.124232,0.493636,0.007600,0.352550,0.013200,64:0.006;98:0.006;108:0.006;50:0.006;4:0.006,98:0.010;64:0.010;55:0.011;50:0.011;4:0.011
-4400,177,50,92,121,92,97,110256498.000000,10595630.000000,18949038.000000,10595630.000000,13466165.000000,0.096100,0.171863,0.096100,0.122135,0.486731,0.007820,0.346932,0.012760,64:0.006;98:0.006;50:0.006;108:0.006;4:0.006,98:0.010;64:0.010;55:0.010;50:0.011;4:0.011
-4350,178,51,92,122,92,101,119522651.000000,11634397.000000,20739841.000000,11634397.000000,14847614.000000,0.097341,0.173522,0.097341,0.124224,0.488999,0.007670,0.339683,0.012870,98:0.005;64:0.006;50:0.006;55:0.006;108:0.006,98:0.008;50:0.009;55:0.009;64:0.010;4:0.011
-4300,181,52,97,123,97,103,129695631.000000,15211625.000000,24868016.000000,15211625.000000,16599424.000000,0.117287,0.191741,0.117287,0.127988,0.478812,0.008000,0.339230,0.013300,98:0.006;55:0.006;50:0.006;101:0.006;4:0.006,55:0.009;98:0.010;50:0.010;64:0.011;4:0.011
-4250,186,51,98,126,98,104,140517663.000000,16311401.000000,25880891.000000,16311401.000000,19590949.000000,0.116081,0.184182,0.116081,0.139420,0.476328,0.007750,0.340411,0.012900,98:0.006;64:0.006;50:0.006;55:0.006;108:0.006,98:0.009;55:0.009;50:0.010;64:0.010;4:0.011
-4200,188,52,100,130,100,109,152476207.000000,18213482.000000,25292562.000000,18213482.000000,23172735.000000,0.119451,0.165879,0.119451,0.151976,0.477631,0.007770,0.329601,0.012940,64:0.005;98:0.006;55:0.006;50:0.006;108:0.006,55:0.009;98:0.010;64:0.010;50:0.011;118:0.011
-4150,192,53,100,128,100,112,166704980.000000,20881840.000000,30038513.000000,20881840.000000,28314867.000000,0.125262,0.180190,0.125262,0.169850,0.472096,0.007700,0.332766,0.012400,64:0.005;98:0.005;55:0.006;50:0.006;101:0.006,98:0.008;55:0.009;118:0.009;64:0.010;50:0.010
-4100,194,54,107,135,107,115,181505165.000000,24820844.000000,34992609.000000,24820844.000000,30981018.000000,0.136750,0.192791,0.136750,0.170689,0.442538,0.007460,0.318896,0.011500,64:0.005;50:0.005;98:0.005;55:0.005;87:0.006,55:0.008;50:0.008;98:0.008;104:0.009;140:0.010
-4050,197,51,114,140,114,124,198739539.000000,36686814.000000,50431102.000000,36686814.000000,45792063.000000,0.184597,0.253755,0.184597,0.230412,0.426567,0.007700,0.299318,0.011560,98:0.005;50:0.005;55:0.006;23:0.006;118:0.006,50:0.007;98:0.007;135:0.008;23:0.008;55:0.009
-4000,201,50,120,144,120,130,217289912.000000,46799149.000000,52794957.000000,46799149.000000,51623938.000000,0.215377,0.242970,0.215377,0.237581,0.410776,0.008100,0.292326,0.012300,98:0.005;50:0.006;55:0.006;118:0.006;101:0.006,98:0.008;50:0.008;118:0.008;55:0.009;64:0.010
