year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,10,New kinterranstan Tribe,194936,0.999200,0.619500,0.870800,0.003700,0,0,stable,0,0,0,1,1.000000,1.000000,0.999225,0.999195,0.000000,-0.000775,-0.000030,-0.000805,0.000000,0.000000,0.000000,0.004570,0.000000,-0.000775,-0.000030,0.000000,0.006385,1,control,0.000775,0.615144,0.619799,0.619508,0.619480,0.619480,0.619480,0.004655,-0.000292,-0.000027,0.000000,0.000000,0.004336,-0.000000,0.000000,0.001000,-0.000000,-0.001292,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006385,budget,0.000292
-5000,11,New ranbelterstan Tribe,137413,0.998800,0.569800,0.807100,0.005600,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998842,0.998810,0.000000,-0.001158,-0.000032,-0.001190,0.000000,0.000000,0.000000,0.004532,0.000000,-0.001158,-0.000032,0.000000,0.006546,1,control,0.001158,0.566816,0.570778,0.569848,0.569820,0.569820,0.569820,0.003962,-0.000929,-0.000029,0.000000,0.000000,0.003004,-0.000000,0.000000,0.001000,-0.000000,-0.001929,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006546,budget,0.000929
-5000,12,South garna Tribe,79091,0.999400,0.589900,0.910800,0.003000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999465,0.999435,0.000000,-0.000535,-0.000030,-0.000565,0.000000,0.000000,0.000000,0.004572,0.000000,-0.000535,-0.000030,0.000000,0.006351,1,control,0.000535,0.583763,0.589788,0.589896,0.589869,0.589869,0.589869,0.006025,0.000108,-0.000027,0.000000,0.000000,0.006106,-0.000000,0.000000,0.001000,-0.000000,-0.000892,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006351,demography,0.000027
-5000,13,North lorquizenstan Tribe,50779,0.999000,0.634300,0.842900,0.004000,0,0,stable,0,0,0,1,1.000000,1.000000,0.999057,0.999026,0.000000,-0.000943,-0.000031,-0.000974,0.000000,0.000000,0.000000,0.004654,0.000000,-0.000943,-0.000031,0.000000,0.006419,1,control,0.000943,0.628924,0.634860,0.634289,0.634261,0.634261,0.634261,0.005937,-0.000571,-0.000028,0.000000,0.000000,0.005338,-0.000000,0.000000,0.001000,-0.000000,-0.001571,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006419,budget,0.000571
-5000,14,North zendusstan Tribe,304778,0.998400,0.658600,0.733500,0.006100,0,0,stable,0,0,0,1,1.000000,1.000000,0.998401,0.998369,0.000000,-0.001599,-0.000032,-0.001631,0.000000,0.000000,0.000000,0.004503,0.000000,-0.001599,-0.000032,0.000000,0.006577,1,control,0.001599,0.655704,0.660309,0.658644,0.658615,0.658615,0.658615,0.004606,-0.001665,-0.000029,0.000000,0.000000,0.002911,-0.000000,0.000000,0.001000,-0.000000,-0.002665,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006577,budget,0.001665
-5000,15,Romduskinia Tribe,257009,0.998200,0.575200,0.713200,0.007500,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998279,0.998246,0.000000,-0.001721,-0.000033,-0.001754,0.000000,0.000000,0.000000,0.004508,0.000000,-0.001721,-0.000033,0.000000,0.006696,1,control,0.001721,0.573314,0.577049,0.575181,0.575151,0.575151,0.575151,0.003735,-0.001868,-0.000030,0.000000,0.000000,0.001837,-0.000000,0.000000,0.001000,-0.000000,-0.002868,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006696,budget,0.001868
-5000,16,South dusgardusgrad Tribe,295323,0.997100,0.638600,0.524600,0.009400,0,0,stable,0,0,0,1,1.000000,1.000000,0.997147,0.997111,0.000000,-0.002853,-0.000036,-0.002889,0.000000,0.000000,0.000000,0.004399,0.000000,-0.002853,-0.000036,0.000000,0.006977,1,control,0.002853,0.639363,0.642429,0.638674,0.638642,0.638642,0.638642,0.003065,-0.003754,-0.000032,0.000000,0.000000,-0.000721,-0.000000,0.000000,0.001000,-0.000000,-0.004754,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006977,budget,0.003754
-5000,17,North duslorloria Tribe,292175,0.998900,0.664300,0.825800,0.004100,0,0,stable,0,0,0,1,1.000000,1.000000,0.998955,0.998924,0.000000,-0.001045,-0.000031,-0.001076,0.000000,0.000000,0.000000,0.004598,0.000000,-0.001045,-0.000031,0.000000,0.006417,1,control,0.001045,0.659902,0.665115,0.664373,0.664345,0.664345,0.664345,0.005214,-0.000742,-0.000028,0.000000,0.000000,0.004444,-0.000000,0.000000,0.001000,-0.000000,-0.001742,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006417,budget,0.000742
-5000,18,North lorranlin Tribe,133939,0.998600,0.626800,0.771900,0.005700,0,0,stable,0,0,0,1,1.000000,1.000000,0.998631,0.998599,0.000000,-0.001369,-0.000032,-0.001401,0.000000,0.000000,0.000000,0.004605,0.000000,-0.001369,-0.000032,0.000000,0.006546,1,control,0.001369,0.623672,0.628144,0.626863,0.626834,0.626834,0.626834,0.004472,-0.001281,-0.000029,0.000000,0.000000,0.003162,-0.000000,0.000000,0.001000,-0.000000,-0.002281,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006546,budget,0.001281
-5000,19,Great garzenbelgrad Tribe,83976,0.998700,0.588100,0.781000,0.006000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998686,0.998653,0.000000,-0.001314,-0.000032,-0.001347,0.000000,0.000000,0.000000,0.004619,0.000000,-0.001314,-0.000032,0.000000,0.006570,1,control,0.001314,0.585300,0.589278,0.588087,0.588058,0.588058,0.588058,0.003978,-0.001190,-0.000029,0.000000,0.000000,0.002758,-0.000000,0.000000,0.001000,-0.000000,-0.002190,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006570,budget,0.001190
