year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,96,57,0,0,0,0,23922156.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998100,0.996900,0.607251,0.555800,20:0.989;60:0.989;40:0.989;80:0.989;0:0.990,32:0.548;68:0.549;98:0.550;83:0.550;42:0.551
-4950,104,51,10,37,10,12,30651578.000000,1068288.000000,6959033.000000,1068288.000000,1934126.000000,0.034853,0.227037,0.034853,0.063100,0.857681,0.407000,0.583487,0.181650,50:0.004;46:0.005;64:0.070;79:0.187;100:0.339,50:0.004;46:0.006;64:0.006;47:0.011;18:0.013
-4900,117,44,35,65,35,47,34598950.000000,3319320.000000,9516611.000000,3319320.000000,6087133.000000,0.095937,0.275055,0.095937,0.175934,0.656475,0.008980,0.459703,0.008240,64:0.005;34:0.005;46:0.005;47:0.005;50:0.005,64:0.005;34:0.006;47:0.006;100:0.007;79:0.007
-4850,122,43,46,68,46,55,38825040.000000,4432851.000000,9200444.000000,4432851.000000,5777805.000000,0.114175,0.236972,0.114175,0.148816,0.589839,0.006210,0.435680,0.009200,33:0.005;46:0.005;64:0.005;47:0.005;32:0.005,64:0.006;47:0.006;46:0.006;33:0.007;32:0.008
-4800,123,47,54,70,54,58,43247325.000000,4673937.000000,8867751.000000,4673937.000000,4958861.000000,0.108075,0.205047,0.108075,0.114663,0.562823,0.006220,0.431607,0.010300,36:0.004;33:0.005;91:0.005;46:0.005;98:0.005,36:0.007;91:0.007;98:0.007;32:0.008;33:0.008
-4750,127,47,59,76,59,64,47984936.000000,4163393.000000,8866136.000000,4163393.000000,6466722.000000,0.086765,0.184769,0.086765,0.134766,0.541420,0.006300,0.420291,0.010780,36:0.004;33:0.005;101:0.005;47:0.006;63:0.006,36:0.007;33:0.007;5:0.009;47:0.009;32:0.009
-4700,137,47,61,83,61,65,52867538.000000,3882439.000000,9148228.000000,3882439.000000,5862121.000000,0.073437,0.173041,0.073437,0.110883,0.528406,0.006620,0.414613,0.011040,36:0.004;91:0.005;98:0.005;63:0.006;116:0.006,36:0.006;33:0.008;98:0.008;91:0.009;35:0.009
-4650,140,51,64,84,64,69,58620505.000000,3938739.000000,9314037.000000,3938739.000000,6671003.000000,0.067190,0.158887,0.067190,0.113800,0.535139,0.006800,0.416957,0.011330,36:0.004;33:0.005;46:0.006;63:0.006;91:0.006,36:0.007;32:0.008;33:0.009;46:0.009;91:0.010
-4600,141,52,67,83,67,69,64686235.000000,4722061.000000,8612183.000000,4722061.000000,6556847.000000,0.072999,0.133138,0.072999,0.101364,0.530421,0.006800,0.414540,0.011300,36:0.004;91:0.005;63:0.006;98:0.006;64:0.006,36:0.007;91:0.009;64:0.009;98:0.009;32:0.009
-4550,141,50,67,86,67,74,70797357.000000,4547564.000000,10223241.000000,4547564.000000,6273224.000000,0.064234,0.144401,0.064234,0.088608,0.524157,0.006800,0.399246,0.011800,36:0.004;63:0.006;91:0.006;116:0.006;32:0.006,36:0.007;64:0.010;33:0.010;117:0.010;91:0.010
-4500,146,49,74,91,74,78,76593377.000000,6288203.000000,10770928.000000,6288203.000000,9289030.000000,0.082099,0.140625,0.082099,0.121277,0.501716,0.006950,0.385114,0.011900,36:0.004;91:0.006;98:0.006;12:0.006;35:0.006,36:0.007;33:0.010;91:0.010;117:0.011;47:0.011
-4450,148,48,76,96,76,83,82802456.000000,6147693.000000,11296434.000000,6147693.000000,7795834.000000,0.074245,0.136426,0.074245,0.094150,0.494371,0.006970,0.373695,0.012040,36:0.004;91:0.006;33:0.006;35:0.006;47:0.006,36:0.007;33:0.009;47:0.010;91:0.010;32:0.011
-4400,152,50,79,101,79,85,88525514.000000,6534709.000000,12086767.000000,6534709.000000,9980060.000000,0.073817,0.136534,0.073817,0.112737,0.487143,0.007310,0.364364,0.012020,36:0.004;33:0.005;47:0.006;35:0.006;98:0.006,36:0.007;33:0.008;47:0.009;35:0.010;98:0.010
-4350,153,50,78,99,78,88,95712867.000000,6875606.000000,12987865.000000,6875606.000000,10390723.000000,0.071836,0.135696,0.071836,0.108561,0.485305,0.007000,0.360349,0.011920,36:0.004;33:0.005;91:0.006;98:0.006;116:0.006,36:0.007;33:0.009;98:0.009;91:0.009;32:0.010
-4300,155,50,84,103,84,90,104184689.000000,8340696.000000,15832442.000000,8340696.000000,9575084.000000,0.080057,0.151965,0.080057,0.091905,0.465184,0.007540,0.356468,0.012180,36:0.004;33:0.006;91:0.006;98:0.006;47:0.006,36:0.007;33:0.009;91:0.010;47:0.010;98:0.010
-4250,156,50,88,106,88,96,113241015.000000,8906018.000000,16846763.000000,8906018.000000,11206869.000000,0.078647,0.148769,0.078647,0.098965,0.448071,0.006900,0.344876,0.012000,36:0.004;33:0.006;91:0.006;116:0.006;64:0.006,36:0.007;64:0.009;33:0.009;91:0.009;94:0.010
-4200,160,50,91,107,91,94,123119828.000000,11416466.000000,18227211.000000,11416466.000000,14736402.000000,0.092726,0.148044,0.092726,0.119692,0.442544,0.006900,0.345512,0.011990,36:0.004;33:0.006;32:0.006;91:0.006;116:0.006,36:0.007;32:0.009;33:0.010;117:0.010;64:0.010
-4150,162,49,91,109,91,99,132966388.000000,12897636.000000,17921231.000000,12897636.000000,16236637.000000,0.096999,0.134780,0.096999,0.122111,0.445473,0.006920,0.338497,0.011900,36:0.004;91:0.005;33:0.005;98:0.005;47:0.006,36:0.006;91:0.008;98:0.008;117:0.009;33:0.009
-4100,162,50,93,108,93,100,145298395.000000,14193331.000000,20228516.000000,14193331.000000,16838826.000000,0.097684,0.139221,0.097684,0.115891,0.442912,0.006720,0.336945,0.010850,36:0.003;33:0.005;47:0.005;32:0.006;91:0.006,36:0.005;33:0.007;47:0.007;117:0.008;32:0.009
-4050,164,49,95,113,95,101,160509154.000000,17271931.000000,27163178.000000,17271931.000000,20570160.000000,0.107607,0.169231,0.107607,0.128156,0.432879,0.006930,0.332992,0.011500,36:0.004;33:0.005;32:0.005;47:0.005;91:0.005,36:0.006;47:0.007;32:0.007;33:0.007;35:0.007
-4000,166,49,100,115,100,108,175784179.000000,24746924.000000,30654870.000000,24746924.000000,26123349.000000,0.140780,0.174389,0.140780,0.148610,0.418283,0.007650,0.323445,0.012100,36:0.004;47:0.006;91:0.006;64:0.006;35:0.006,36:0.007;33:0.007;47:0.008;91:0.009;32:0.009
-3950,168,49,104,113,104,107,193575059.000000,28144766.000000,29362598.000000,28144766.000000,28416489.000000,0.145395,0.151686,0.145395,0.146798,0.407143,0.007200,0.322042,0.011870,36:0.004;33:0.005;91:0.006;35:0.006;64:0.006,36:0.007;35:0.008;33:0.009;64:0.009;91:0.009
-3900,168,49,105,115,105,107,214432131.000000,32012218.000000,37155164.000000,32012218.000000,32244916.000000,0.149288,0.173272,0.149288,0.150374,0.398702,0.007170,0.323637,0.012070,36:0.004;33:0.005;98:0.006;91:0.006;116:0.006,36:0.007;33:0.009;32:0.009;98:0.009;94:0.009
-3850,169,50,105,116,105,109,237858726.000000,37927368.000000,42390941.000000,37927368.000000,41216366.000000,0.159453,0.178219,0.159453,0.173281,0.401061,0.007540,0.322762,0.012080,32:0.006;35:0.006;91:0.006;98:0.006;116:0.006,36:0.006;33:0.009;32:0.009;35:0.009;91:0.010
-3800,170,49,107,119,107,108,265533247.000000,44268027.000000,65978868.000000,44268027.000000,59709808.000000,0.166714,0.248477,0.166714,0.224868,0.393524,0.007090,0.315119,0.011890,36:0.004;91:0.005;98:0.006;33:0.006;116:0.006,36:0.006;98:0.008;91:0.008;94:0.009;33:0.010
-3750,172,49,110,120,110,112,294209881.000000,64134311.000000,73429694.000000,64134311.000000,66216246.000000,0.217988,0.249583,0.217988,0.225065,0.393284,0.007210,0.314626,0.012210,36:0.004;91:0.006;116:0.006;35:0.006;98:0.006,36:0.007;32:0.009;33:0.010;35:0.010;91:0.010
-3700,173,49,111,121,111,113,326027347.000000,72588052.000000,82823765.000000,72588052.000000,73563729.000000,0.222644,0.254039,0.222644,0.225637,0.390566,0.007700,0.314162,0.012720,91:0.006;116:0.006;98:0.006;35:0.006;47:0.006,36:0.007;33:0.010;91:0.010;98:0.010;47:0.011
