seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
6,True,0,625.581,False,False,30,1991,198,Kingdom of Great chilamofiu Kingdom,21,Drama and Poetry,120,Copper Smelting,808,28,Kingdom of New eshashar,5093,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16/seed_6,
8,True,0,650.181,False,False,28,41,16,Kingdom of South linqinling Kingdom,15,Currency,120,Copper Smelting,1609,150,Kingdom of Old ninsameshar,5272,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16/seed_8,
11,True,0,560.847,False,False,28,1422,48,Kingdom of South ngongo Kingdom,109,Long-distance Exchange Networks,120,Copper Smelting,88,32,Kingdom of South belurtamum,4494,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post16/seed_11,
