year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,99,63,0,0,0,0,15680707.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998320,0.997860,0.613438,0.561860,40:0.989;20:0.989;60:0.989;80:0.989;0:0.989,56:0.549;36:0.550;95:0.550;34:0.551;15:0.551
-4950,102,75,5,13,5,5,20614909.000000,275795.000000,1495869.000000,275795.000000,412975.000000,0.013378,0.072562,0.013378,0.020033,0.932337,0.846260,0.728396,0.368480,64:0.004;1:0.125;50:0.263;102:0.363;100:0.389,50:0.006;64:0.006;1:0.007;46:0.012;79:0.035
-4900,108,63,22,38,22,29,23658412.000000,1118586.000000,2730664.000000,1118586.000000,1845402.000000,0.047281,0.115420,0.047281,0.078002,0.756604,0.074340,0.623855,0.011770,64:0.003;50:0.005;79:0.006;45:0.006;1:0.006,64:0.004;50:0.006;79:0.008;45:0.008;47:0.009
-4850,113,63,31,44,31,33,26740142.000000,1427451.000000,3702729.000000,1427451.000000,1581881.000000,0.053382,0.138471,0.053382,0.059158,0.706090,0.007760,0.602840,0.012600,64:0.004;50:0.005;28:0.006;46:0.006;1:0.006,64:0.004;28:0.008;50:0.008;46:0.008;47:0.009
-4800,113,62,34,43,34,34,30135983.000000,1366278.000000,1688539.000000,1366278.000000,1366278.000000,0.045337,0.056031,0.045337,0.045337,0.698002,0.007440,0.605181,0.013100,64:0.004;50:0.006;2:0.006;46:0.006;28:0.007,64:0.005;46:0.009;50:0.010;45:0.010;28:0.010
-4750,113,61,36,47,36,39,33869657.000000,1226284.000000,2298059.000000,1226284.000000,1438747.000000,0.036206,0.067850,0.036206,0.042479,0.675624,0.007600,0.580908,0.012780,64:0.005;50:0.006;2:0.006;28:0.007;1:0.007,64:0.008;28:0.010;50:0.010;1:0.011;2:0.011
-4700,118,61,44,55,44,45,37752020.000000,1356296.000000,4307348.000000,1356296.000000,1446277.000000,0.035926,0.114096,0.035926,0.038310,0.633498,0.007800,0.548965,0.013070,64:0.005;50:0.006;2:0.006;28:0.007;45:0.007,64:0.008;50:0.009;28:0.010;45:0.011;2:0.011
-4650,122,60,44,58,44,46,42258966.000000,1284021.000000,4585228.000000,1284021.000000,1327549.000000,0.030385,0.108503,0.030385,0.031415,0.619855,0.007800,0.537536,0.013600,64:0.004;50:0.006;104:0.007;16:0.007;28:0.007,64:0.007;50:0.008;46:0.010;28:0.011;16:0.011
-4600,122,59,43,58,43,44,47445647.000000,1140842.000000,5423428.000000,1140842.000000,3432987.000000,0.024045,0.114308,0.024045,0.072356,0.635346,0.008000,0.537389,0.013510,64:0.004;50:0.006;28:0.007;104:0.007;16:0.007,64:0.007;28:0.010;50:0.010;16:0.012;79:0.012
-4550,123,60,45,60,45,47,52996172.000000,1194975.000000,5910757.000000,1194975.000000,4338940.000000,0.022548,0.111532,0.022548,0.081873,0.624650,0.007820,0.529826,0.013620,64:0.005;50:0.006;104:0.007;16:0.007;28:0.007,64:0.007;50:0.011;46:0.012;28:0.012;16:0.012
-4500,124,58,46,56,46,47,58889289.000000,1444352.000000,3365319.000000,1444352.000000,1526415.000000,0.024527,0.057147,0.024527,0.025920,0.621197,0.008060,0.531226,0.014000,64:0.005;50:0.006;28:0.007;30:0.007;27:0.007,64:0.008;50:0.011;28:0.012;30:0.013;45:0.013
