year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,98,67,0,0,0,0,24291901.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998164,0.997600,0.618862,0.569100,80:0.987;60:0.988;20:0.989;40:0.989;0:0.990,82:0.559;96:0.560;52:0.561;49:0.564;88:0.565
-4950,102,93,4,9,4,4,31206307.000000,141962.000000,520829.000000,141962.000000,274882.000000,0.004549,0.016690,0.004549,0.008809,0.946264,0.948190,0.902064,0.635960,100:0.274;64:0.299;101:0.363;103:0.394;102:0.466,64:0.009;100:0.092;81:0.141;47:0.161;101:0.221
-4900,108,93,6,8,6,5,35713345.000000,353261.000000,426821.000000,353261.000000,260587.000000,0.009892,0.011951,0.009892,0.007297,0.912010,0.585410,0.891439,0.475290,100:0.004;64:0.005;47:0.231;50:0.293;81:0.294,100:0.006;64:0.008;101:0.106;47:0.130;50:0.194
-4850,109,99,7,6,6,4,40368029.000000,361067.000000,342714.000000,342714.000000,184829.000000,0.008944,0.008490,0.008490,0.004579,0.931261,0.902660,0.930576,0.807360,100:0.029;64:0.048;47:0.168;101:0.194;50:0.220,100:0.027;64:0.040;101:0.077;47:0.155;50:0.253
-4800,110,102,7,4,4,4,45381038.000000,363397.000000,173765.000000,173765.000000,173765.000000,0.008008,0.003829,0.003829,0.003829,0.935385,0.916930,0.945615,0.903980,47:0.016;64:0.078;100:0.097;101:0.200;81:0.260,47:0.009;64:0.057;101:0.149;100:0.171;81:0.412
-4750,110,102,6,4,4,4,51030910.000000,275986.000000,168649.000000,168649.000000,168649.000000,0.005408,0.003305,0.003305,0.003305,0.942444,0.952360,0.955876,0.940350,47:0.023;100:0.033;64:0.093;101:0.218;81:0.288,47:0.025;100:0.047;64:0.096;101:0.136;81:0.558
-4700,111,103,6,4,4,4,57015955.000000,339388.000000,170128.000000,170128.000000,170128.000000,0.005953,0.002984,0.002984,0.002984,0.938060,0.944000,0.950761,0.914100,47:0.007;101:0.017;64:0.075;100:0.094;76:0.369,47:0.010;101:0.023;64:0.044;100:0.123;112:0.443
-4650,111,104,5,4,4,4,63691440.000000,265963.000000,170833.000000,170833.000000,170833.000000,0.004176,0.002682,0.002682,0.002682,0.946515,0.946900,0.956933,0.927600,101:0.004;47:0.012;64:0.085;100:0.162;81:0.342,101:0.009;47:0.013;64:0.078;100:0.224;81:0.867
-4600,111,106,4,4,4,4,70716871.000000,172357.000000,172357.000000,172357.000000,172357.000000,0.002437,0.002437,0.002437,0.002437,0.954264,0.968400,0.962445,0.954800,47:0.020;101:0.082;100:0.117;64:0.195;81:0.452,47:0.026;101:0.123;100:0.171;64:0.237;38:0.876
-4550,111,106,4,4,4,4,77958633.000000,170830.000000,170830.000000,170830.000000,170830.000000,0.002191,0.002191,0.002191,0.002191,0.957402,0.988300,0.966023,0.999600,47:0.014;101:0.074;100:0.179;64:0.198;76:0.591,47:0.017;101:0.132;64:0.239;100:0.270;37:0.913
-4500,111,106,4,4,4,3,86248823.000000,170296.000000,170296.000000,170296.000000,150675.000000,0.001974,0.001974,0.001974,0.001747,0.956090,0.964900,0.962936,0.967100,47:0.032;101:0.065;64:0.065;100:0.242;76:0.499,64:0.040;47:0.051;101:0.107;100:0.358;81:0.892
-4450,111,107,4,4,4,3,93780171.000000,169665.000000,169665.000000,169665.000000,150933.000000,0.001809,0.001809,0.001809,0.001609,0.957136,0.968700,0.958630,0.930800,47:0.014;64:0.057;101:0.085;100:0.221;81:0.608,47:0.013;64:0.033;101:0.114;100:0.305;112:0.893
-4400,111,107,4,4,4,4,101591221.000000,168578.000000,168578.000000,168578.000000,168578.000000,0.001659,0.001659,0.001659,0.001659,0.956994,0.951200,0.957621,0.918000,47:0.017;101:0.100;100:0.129;64:0.142;81:0.617,47:0.010;101:0.102;64:0.146;100:0.164;83:0.892
-4350,111,107,4,4,4,4,110750104.000000,168327.000000,168327.000000,168327.000000,168327.000000,0.001520,0.001520,0.001520,0.001520,0.956786,0.951100,0.954892,0.923200,47:0.007;64:0.045;100:0.048;101:0.072;81:0.652,47:0.011;64:0.024;100:0.047;101:0.098;57:0.869
-4300,111,107,4,4,4,4,119921459.000000,167720.000000,167720.000000,167720.000000,167720.000000,0.001399,0.001399,0.001399,0.001399,0.960734,0.969500,0.960531,0.957200,100:0.026;47:0.031;101:0.083;64:0.138;81:0.770,47:0.032;100:0.039;101:0.092;64:0.146;26:0.893
-4250,111,107,4,4,4,4,129773639.000000,168513.000000,168513.000000,168513.000000,168513.000000,0.001299,0.001299,0.001299,0.001299,0.964573,0.995700,0.960293,0.943000,64:0.012;47:0.049;101:0.105;100:0.120;55:0.927,64:0.012;47:0.064;101:0.159;100:0.176;57:0.909
-4200,111,107,4,4,4,4,140608609.000000,168322.000000,168322.000000,168322.000000,168322.000000,0.001197,0.001197,0.001197,0.001197,0.959875,0.949200,0.955045,0.910400,64:0.036;47:0.060;100:0.071;101:0.124;76:0.922,64:0.021;47:0.053;100:0.104;101:0.159;80:0.882
-4150,111,107,4,4,4,4,151016073.000000,167021.000000,167021.000000,167021.000000,167021.000000,0.001106,0.001106,0.001106,0.001106,0.959984,0.950600,0.955495,0.917100,47:0.005;101:0.034;100:0.085;64:0.135;50:0.908,47:0.009;101:0.035;100:0.124;64:0.148;50:0.874
-4100,111,107,4,4,4,4,165241987.000000,168226.000000,168226.000000,168226.000000,168226.000000,0.001018,0.001018,0.001018,0.001018,0.960509,0.953300,0.951397,0.916300,101:0.009;47:0.066;100:0.086;64:0.149;23:0.918,101:0.011;47:0.051;100:0.113;64:0.160;23:0.870
-4050,111,107,4,4,4,2,180049532.000000,170180.000000,170180.000000,170180.000000,114607.000000,0.000945,0.000945,0.000945,0.000637,0.963105,0.969300,0.957402,0.911400,101:0.009;47:0.019;100:0.224;64:0.232;38:0.920,101:0.008;47:0.009;64:0.293;100:0.345;28:0.875
-4000,111,107,4,3,3,2,196878962.000000,171885.000000,154091.000000,154091.000000,115005.000000,0.000873,0.000783,0.000783,0.000584,0.961912,0.971500,0.963356,0.933600,47:0.005;101:0.089;64:0.228;100:0.283;104:0.811,47:0.009;101:0.135;64:0.291;100:0.428;45:0.902
-3950,111,107,4,4,4,4,215731847.000000,171019.000000,171019.000000,171019.000000,171019.000000,0.000793,0.000793,0.000793,0.000793,0.958444,0.946300,0.959986,0.942000,47:0.035;64:0.102;101:0.141;100:0.166;76:0.760,47:0.044;64:0.094;101:0.200;100:0.233;90:0.882
