year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,98,58,0,0,0,0,18053439.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998202,0.997970,0.608881,0.561750,40:0.988;0:0.988;60:0.989;80:0.989;20:0.989,94:0.551;71:0.553;98:0.554;90:0.555;82:0.556
-4950,98,67,3,13,3,10,23553205.000000,182726.000000,1467070.000000,182726.000000,1074505.000000,0.007758,0.062287,0.007758,0.045620,0.934098,0.787240,0.678390,0.249600,64:0.024;77:0.067;81:0.321;46:0.484;45:0.494,64:0.008;77:0.008;46:0.011;45:0.011;81:0.013
-4900,113,54,28,49,28,31,26846873.000000,1552066.000000,6227016.000000,1552066.000000,2596968.000000,0.057812,0.231946,0.057812,0.096733,0.723843,0.079760,0.559242,0.011640,64:0.004;36:0.004;45:0.005;77:0.005;47:0.005,64:0.004;45:0.006;36:0.006;77:0.007;47:0.007
-4850,115,56,34,55,34,40,30062258.000000,2249411.000000,6509180.000000,2249411.000000,3725677.000000,0.074825,0.216523,0.074825,0.123932,0.673881,0.006940,0.534539,0.010740,64:0.004;36:0.005;45:0.005;47:0.005;77:0.005,64:0.004;36:0.007;47:0.007;77:0.008;45:0.008
-4800,117,58,41,57,41,45,33661016.000000,2740064.000000,6363465.000000,2740064.000000,3608106.000000,0.081402,0.189046,0.081402,0.107189,0.650515,0.007000,0.537299,0.011020,64:0.004;36:0.005;45:0.005;77:0.006;47:0.006,64:0.006;36:0.007;45:0.007;77:0.008;47:0.009
-4750,117,58,42,57,42,46,37761527.000000,2446694.000000,5454905.000000,2446694.000000,2563117.000000,0.064793,0.144457,0.064793,0.067876,0.631626,0.007360,0.528899,0.011340,64:0.005;36:0.005;45:0.006;77:0.006;47:0.006,36:0.008;64:0.008;47:0.009;77:0.010;45:0.010
-4700,119,58,47,59,47,49,42178444.000000,2338115.000000,6835729.000000,2338115.000000,2625459.000000,0.055434,0.162067,0.055434,0.062246,0.607432,0.007340,0.521981,0.011960,64:0.005;36:0.005;45:0.005;77:0.006;95:0.006,64:0.008;36:0.008;45:0.008;77:0.009;95:0.009
-4650,121,59,48,60,48,50,47275528.000000,2262450.000000,7068732.000000,2262450.000000,4384615.000000,0.047857,0.149522,0.047857,0.092746,0.609091,0.007500,0.517219,0.012100,64:0.005;36:0.005;95:0.006;45:0.006;77:0.006,64:0.007;36:0.009;95:0.009;81:0.009;45:0.009
-4600,122,58,50,63,50,50,52558477.000000,3462650.000000,7465169.000000,3462650.000000,3505767.000000,0.065882,0.142035,0.065882,0.066702,0.593524,0.007310,0.513772,0.011940,64:0.005;36:0.006;16:0.006;45:0.006;77:0.006,64:0.007;45:0.009;36:0.010;77:0.010;81:0.010
-4550,122,58,50,61,50,57,58177537.000000,3063744.000000,6584356.000000,3063744.000000,4733995.000000,0.052662,0.113177,0.052662,0.081372,0.581300,0.007410,0.504316,0.012210,64:0.005;16:0.006;36:0.006;45:0.006;95:0.006,64:0.008;36:0.010;45:0.010;16:0.011;95:0.011
-4500,123,59,52,62,51,57,64097589.000000,3179178.000000,7605278.000000,3158861.000000,5534020.000000,0.049599,0.118652,0.049282,0.086337,0.579002,0.007420,0.508423,0.012600,64:0.005;16:0.006;36:0.006;45:0.006;77:0.006,64:0.009;36:0.010;95:0.010;16:0.011;45:0.011
-4450,125,58,53,62,53,52,69801770.000000,3387263.000000,7379697.000000,3387263.000000,3404410.000000,0.048527,0.105724,0.048527,0.048773,0.578789,0.007440,0.504132,0.012900,64:0.005;36:0.006;16:0.006;45:0.006;77:0.006,64:0.009;36:0.010;45:0.010;16:0.011;47:0.011
-4400,125,58,54,65,54,57,76542392.000000,4602500.000000,8783892.000000,4602500.000000,6321825.000000,0.060130,0.114759,0.060130,0.082592,0.571878,0.007600,0.495578,0.012040,64:0.005;16:0.006;45:0.006;77:0.006;95:0.006,64:0.009;16:0.010;47:0.010;95:0.011;45:0.011
-4350,126,58,55,66,55,59,83188727.000000,4681844.000000,10512455.000000,4681844.000000,6898205.000000,0.056280,0.126369,0.056280,0.082922,0.563862,0.007300,0.484434,0.011900,64:0.005;36:0.006;45:0.006;95:0.006;16:0.006,64:0.009;45:0.009;95:0.009;36:0.009;94:0.009
-4300,126,57,57,64,57,58,89496910.000000,5830882.000000,9268853.000000,5830882.000000,6330460.000000,0.065152,0.103566,0.065152,0.070734,0.555260,0.007600,0.483464,0.012200,64:0.005;16:0.006;36:0.006;45:0.006;77:0.006,64:0.008;36:0.010;45:0.010;16:0.011;95:0.011
-4250,126,56,58,66,58,59,96422822.000000,6420125.000000,10730404.000000,6420125.000000,7341336.000000,0.066583,0.111285,0.066583,0.076137,0.548023,0.007350,0.470590,0.011950,64:0.005;16:0.006;36:0.006;77:0.006;94:0.006,64:0.007;94:0.009;77:0.009;36:0.010;45:0.010
-4200,127,56,59,70,59,61,105120602.000000,6115207.000000,14937186.000000,6115207.000000,7403000.000000,0.058173,0.142096,0.058173,0.070424,0.536139,0.007520,0.463346,0.013060,64:0.005;36:0.006;16:0.006;45:0.006;95:0.006,64:0.008;36:0.009;45:0.010;95:0.010;16:0.011
-4150,129,55,61,74,61,70,113748351.000000,6602549.000000,16585492.000000,6602549.000000,14449102.000000,0.058045,0.145809,0.058045,0.127027,0.516312,0.007380,0.434713,0.011960,64:0.005;36:0.005;77:0.006;16:0.006;94:0.006,36:0.007;64:0.008;77:0.009;94:0.009;16:0.010
