year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,98,48,0,0,0,0,18391194.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998177,0.997470,0.606362,0.555680,20:0.989;40:0.989;60:0.989;80:0.989;0:0.990,15:0.545;8:0.546;11:0.548;89:0.549;55:0.551
-4950,103,60,14,27,14,14,23134026.000000,825884.000000,3356887.000000,825884.000000,1238626.000000,0.035700,0.145106,0.035700,0.053541,0.864847,0.347100,0.604930,0.054460,46:0.004;76:0.005;45:0.118;12:0.193;35:0.219,46:0.004;97:0.005;76:0.005;45:0.006;64:0.008
-4900,117,43,28,62,28,36,26418386.000000,1987121.000000,8283979.000000,1987121.000000,3571984.000000,0.075217,0.313569,0.075217,0.135208,0.684117,0.007360,0.479260,0.009500,46:0.004;64:0.005;45:0.005;76:0.005;97:0.005,64:0.005;45:0.006;76:0.006;97:0.006;46:0.007
-4850,122,43,39,68,39,52,29859015.000000,2987684.000000,7800859.000000,2987684.000000,5112342.000000,0.100060,0.261256,0.100060,0.171216,0.618095,0.006760,0.435416,0.010770,46:0.005;64:0.005;76:0.005;99:0.005;45:0.005,64:0.005;46:0.007;76:0.007;99:0.007;45:0.007
-4800,124,42,52,72,52,58,33518510.000000,3952744.000000,7385930.000000,3952744.000000,4944245.000000,0.117927,0.220354,0.117927,0.147508,0.578949,0.006890,0.420905,0.011330,46:0.005;45:0.005;64:0.005;99:0.005;76:0.006,45:0.007;64:0.007;46:0.008;99:0.008;77:0.008
-4750,126,45,56,73,56,64,37295235.000000,3592052.000000,7698300.000000,3592052.000000,6323058.000000,0.096314,0.206415,0.096314,0.169541,0.556710,0.007400,0.412349,0.012400,99:0.006;64:0.006;93:0.006;76:0.006;1:0.006,99:0.009;64:0.010;1:0.010;76:0.010;100:0.010
-4700,134,45,61,82,61,68,41400943.000000,3813240.000000,8119703.000000,3813240.000000,5946234.000000,0.092105,0.196124,0.092105,0.143626,0.532187,0.007530,0.402150,0.011700,46:0.006;45:0.006;64:0.006;93:0.006;99:0.006,45:0.009;46:0.009;64:0.010;100:0.010;76:0.010
-4650,136,48,64,81,64,64,46128125.000000,4736458.000000,8029260.000000,4736458.000000,4787772.000000,0.102680,0.174064,0.102680,0.103793,0.540984,0.007400,0.414103,0.011600,46:0.005;100:0.005;64:0.006;93:0.006;45:0.006,46:0.008;64:0.009;100:0.010;89:0.010;76:0.010
-4600,137,50,62,82,62,67,51405347.000000,4742154.000000,9116810.000000,4742154.000000,5870573.000000,0.092250,0.177351,0.092250,0.114202,0.544101,0.007560,0.408684,0.012300,45:0.005;64:0.006;93:0.006;99:0.006;76:0.006,45:0.008;64:0.009;98:0.010;97:0.010;99:0.010
-4550,137,48,63,85,63,74,56962115.000000,4907551.000000,9965524.000000,4907551.000000,7250931.000000,0.086155,0.174950,0.086155,0.127294,0.532353,0.007760,0.390917,0.012940,46:0.006;64:0.006;93:0.006;76:0.006;99:0.006,64:0.009;46:0.010;99:0.010;129:0.011;76:0.011
-4500,138,49,67,84,67,73,62543319.000000,6433619.000000,10471156.000000,6433619.000000,8038518.000000,0.102867,0.167422,0.102867,0.128527,0.515669,0.007670,0.397267,0.012400,46:0.006;45:0.006;93:0.006;76:0.006;64:0.006,45:0.010;46:0.010;64:0.011;99:0.011;76:0.011
-4450,141,50,71,89,71,77,68198463.000000,7584339.000000,11705549.000000,7584339.000000,9533019.000000,0.111210,0.171639,0.111210,0.139783,0.506113,0.007900,0.389572,0.012500,46:0.006;45:0.006;76:0.006;64:0.006;99:0.006,45:0.009;46:0.011;99:0.011;76:0.011;64:0.011
-4400,145,48,72,89,72,79,74166690.000000,7159201.000000,11169523.000000,7159201.000000,8460011.000000,0.096529,0.150600,0.096529,0.114068,0.501462,0.007740,0.382618,0.012440,46:0.006;45:0.006;76:0.006;64:0.006;93:0.006,46:0.010;76:0.010;100:0.011;99:0.011;129:0.011
-4350,147,51,74,86,74,80,81051155.000000,7570040.000000,10021836.000000,7570040.000000,8675641.000000,0.093398,0.123648,0.093398,0.107039,0.498551,0.007700,0.390140,0.012360,45:0.006;46:0.006;76:0.006;98:0.006;64:0.006,45:0.009;76:0.010;98:0.010;46:0.010;55:0.010
-4300,149,52,75,93,75,79,88399400.000000,6440417.000000,12719417.000000,6440417.000000,8568510.000000,0.072856,0.143886,0.072856,0.096930,0.497887,0.007700,0.387040,0.012600,46:0.006;45:0.006;76:0.006;64:0.006;93:0.006,76:0.009;45:0.010;64:0.010;55:0.010;108:0.010
-4250,149,53,78,95,78,86,95086775.000000,8655954.000000,13451522.000000,8655954.000000,9364014.000000,0.091032,0.141466,0.091032,0.098479,0.483045,0.007700,0.378270,0.012580,46:0.006;45:0.006;64:0.006;76:0.006;99:0.006,98:0.009;64:0.009;45:0.009;99:0.010;46:0.010
-4200,150,52,80,96,80,84,104490288.000000,8517217.000000,13905650.000000,8517217.000000,9512232.000000,0.081512,0.133081,0.081512,0.091035,0.474798,0.007690,0.376651,0.012480,45:0.005;46:0.006;76:0.006;99:0.006;108:0.006,45:0.008;76:0.009;99:0.009;89:0.009;108:0.010
