year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4920,8213639,8213639,51106.360242239687,2607986.1550517296,17326
-4919,8235586,8235586,51241.753857775504,2640139.2136112796,17332
-4918,8257086,8257086,51563.482718515865,2672388.9813928581,17339
-4917,8279067,8279067,54863.190428938047,2704791.1083810898,17343
-4916,8299795,8299795,51824.015259663189,2737105.3957774374,17348
-4915,8320838,8320838,51662.301566762508,2769478.0355916354,17358
-4914,8341986,8341986,52026.051859721032,2801943.6753786956,17366
-4913,8363209,8363209,49943.873129781292,2834426.0423360453,17367
-4912,8382866,8382866,56772.435274204327,2867240.7850530543,17374
-4911,8403081,8403081,50104.291530132978,2899762.9328461499,17377
-4910,8423130,8423130,52006.000924136468,2932427.4360917308,17378
-4909,8443437,8443437,51463.32052734201,2965215.9259180254,17381
-4908,8463710,8463710,52191.204940217955,2998005.2534182272,17384
-4907,8484128,8484128,50500.806453543111,3030838.8813471678,17390
-4906,8504120,8504120,53163.459602273724,3063829.5585328802,17396
-4905,8524443,8524443,50573.421412046642,3096775.6643693885,17400
-4904,8544191,8544191,53329.994110955362,3129875.082535387,17406
-4903,8563978,8563978,50643.070303942703,3162941.0683096945,17416
-4902,8584372,8584372,52586.709395706755,3196089.8707679035,17420
-4901,8604777,8604777,51723.181082604482,3229306.5248780656,17423
-4900,8624744,8624744,52873.267325280969,3262562.4340101792,17432
-4899,8647738,8647738,51614.562005983207,3293211.1974173309,17444
-4898,8670222,8670222,50862.594142394308,3323448.4514638614,17454
-4897,8693349,8693349,52000.530744471114,3353807.9826657884,17466
-4896,8716120,8716120,50153.304955452113,3384269.9333320949,17476
-4895,8738722,8738722,55526.149935012203,3415063.3183440138,17486
-4894,8760577,8760577,49351.801031004405,3445206.4035620387,17492
-4893,8782963,8782963,52177.421045341878,3475539.5235792198,17507
-4892,8805662,8805662,49525.784497967958,3505905.7768766275,17521
-4891,8828319,8828319,52293.255878746473,3536393.4890589979,17529
-4890,8851007,8851007,49759.946081298542,3566896.1597450436,17544
-4889,8873852,8873852,52667.184775814698,3597524.739615608,17557
-4888,8896712,8896712,53179.402517589624,3628308.1171062156,17563
-4887,8919631,8919631,52766.045390661573,3658999.1975280545,17570
-4886,8942651,8942651,50071.609113778075,3689732.0273134862,17578
-4885,8965641,8965641,53112.383766580315,3720609.7871185695,17583
-4884,8988651,8988651,50307.619925429266,3751492.6942822281,17588
-4883,9011662,9011662,56352.568029808484,3782631.9724641223,17595
-4882,9034526,9034526,50488.440332295628,3813610.0587517987,17600
-4881,9057449,9057449,53571.111786620531,3844740.2913884781,17602
-4880,9080280,9080280,54115.490773040045,3875976.6273238123,17606
-4879,9103077,9103077,53750.414900154254,3907222.3942673141,17611
-4878,9125732,9125732,54386.650559378817,3938562.0446726237,17618
-4877,9148395,9148395,53875.514290385516,3969942.9840693451,17623
-4876,9170950,9170950,54381.047520936649,4001415.6511947792,17624
-4875,9193448,9193448,54022.076102785977,4032934.1705332194,17634
-4874,9216053,9216053,54798.867718867172,4064609.337041744,17643
-4873,9238583,9238583,54438.75239241642,4096342.200920817,17651
-4872,9261090,9261090,55054.477260352971,4128139.9122573105,17655
-4871,9283568,9283568,54689.551754205015,4159989.3565625646,17661
-4870,9306095,9306095,55036.267199770853,4191971.8928281656,17670
-4869,9328593,9328593,54915.984310886866,4224169.1680934969,17674
-4868,9351131,9351131,55377.254288421798,4256474.5168021657,17688
-4867,9373566,9373566,55168.445809182056,4288911.4519131472,17692
-4866,9395817,9395817,56107.626305238642,4321514.6766077708,17694
