year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,10,New kinquiland Tribe,246280,0.997600,0.592300,0.597600,0.009200,0,0,mixed,0,0,0,0,1.000000,1.000000,0.997586,0.997550,0.000000,-0.002414,-0.000035,-0.002450,0.000000,0.000000,0.000000,0.004379,0.000000,-0.002414,-0.000035,0.000000,0.006885,1,control,0.002414,0.592162,0.595326,0.592302,0.592271,0.592271,0.592271,0.003164,-0.003024,-0.000031,0.000000,0.000000,0.000109,-0.000000,0.000000,0.001000,-0.000000,-0.004024,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006885,budget,0.003024
-5000,11,Great kinrania Tribe,174527,0.999000,0.609000,0.838900,0.004500,0,0,stable,0,0,0,1,1.000000,1.000000,0.999033,0.999002,0.000000,-0.000967,-0.000031,-0.000998,0.000000,0.000000,0.000000,0.004566,0.000000,-0.000967,-0.000031,0.000000,0.006448,1,control,0.000967,0.605051,0.609602,0.608990,0.608962,0.608962,0.608962,0.004550,-0.000611,-0.000028,0.000000,0.000000,0.003911,-0.000000,0.000000,0.001000,-0.000000,-0.001611,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006448,budget,0.000611
-5000,12,Great naquimar Tribe,61135,0.999100,0.553900,0.853600,0.004800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999122,0.999090,0.000000,-0.000878,-0.000031,-0.000910,0.000000,0.000000,0.000000,0.004573,0.000000,-0.000878,-0.000031,0.000000,0.006485,1,control,0.000878,0.549988,0.554417,0.553954,0.553925,0.553925,0.553925,0.004429,-0.000464,-0.000028,0.000000,0.000000,0.003937,-0.000000,0.000000,0.001000,-0.000000,-0.001464,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006485,budget,0.000464
-5000,13,Linquilinia Tribe,35596,0.999200,0.644100,0.865900,0.003500,0,0,stable,0,0,0,1,1.000000,1.000000,0.999196,0.999165,0.000000,-0.000804,-0.000030,-0.000835,0.000000,0.000000,0.000000,0.004579,0.000000,-0.000804,-0.000030,0.000000,0.006369,1,control,0.000804,0.639469,0.644472,0.644131,0.644104,0.644104,0.644104,0.005002,-0.000341,-0.000027,0.000000,0.000000,0.004634,-0.000000,0.000000,0.001000,-0.000000,-0.001341,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006369,budget,0.000341
-5000,14,South dusmarsolland Tribe,314270,0.998600,0.579000,0.776700,0.006100,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998660,0.998628,0.000000,-0.001340,-0.000032,-0.001372,0.000000,0.000000,0.000000,0.004607,0.000000,-0.001340,-0.000032,0.000000,0.006587,1,control,0.001340,0.575687,0.580282,0.579049,0.579020,0.579020,0.579020,0.004595,-0.001233,-0.000029,0.000000,0.000000,0.003333,-0.000000,0.000000,0.001000,-0.000000,-0.002233,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006587,budget,0.001233
-5000,15,Old rombelland Tribe,251825,0.998000,0.547900,0.668800,0.008800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998013,0.997979,0.000000,-0.001987,-0.000034,-0.002021,0.000000,0.000000,0.000000,0.004426,0.000000,-0.001987,-0.000034,0.000000,0.006797,1,control,0.001987,0.546848,0.550219,0.547907,0.547876,0.547876,0.547876,0.003371,-0.002312,-0.000031,0.000000,0.000000,0.001028,-0.000000,0.000000,0.001000,-0.000000,-0.003312,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006797,budget,0.002312
-5000,16,New nagarqui Tribe,298913,0.998000,0.561500,0.674500,0.008500,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998047,0.998013,0.000000,-0.001953,-0.000034,-0.001987,0.000000,0.000000,0.000000,0.004448,0.000000,-0.001953,-0.000034,0.000000,0.006774,1,control,0.001953,0.560376,0.563812,0.561557,0.561527,0.561527,0.561527,0.003436,-0.002255,-0.000031,0.000000,0.000000,0.001151,-0.000000,0.000000,0.001000,-0.000000,-0.003255,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006774,budget,0.002255
-5000,17,South terranqui Tribe,41260,0.998900,0.627000,0.818000,0.004700,0,0,stable,0,0,0,1,1.000000,1.000000,0.998908,0.998877,0.000000,-0.001092,-0.000031,-0.001123,0.000000,0.000000,0.000000,0.004661,0.000000,-0.001092,-0.000031,0.000000,0.006468,1,control,0.001092,0.623469,0.627872,0.627052,0.627024,0.627024,0.627024,0.004403,-0.000820,-0.000028,0.000000,0.000000,0.003555,-0.000000,0.000000,0.001000,-0.000000,-0.001820,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006468,budget,0.000820
-5000,18,New tervialand Tribe,39548,0.999300,0.562300,0.880400,0.004200,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999282,0.999251,0.000000,-0.000718,-0.000031,-0.000749,0.000000,0.000000,0.000000,0.004503,0.000000,-0.000718,-0.000031,0.000000,0.006432,1,control,0.000718,0.558238,0.562518,0.562322,0.562294,0.562294,0.562294,0.004280,-0.000196,-0.000028,0.000000,0.000000,0.004056,-0.000000,0.000000,0.001000,-0.000000,-0.001196,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006432,budget,0.000196
-5000,19,New bellinzen Tribe,29289,0.999400,0.635400,0.898900,0.002900,0,0,stable,0,0,0,1,1.000000,1.000000,0.999393,0.999363,0.000000,-0.000607,-0.000030,-0.000637,0.000000,0.000000,0.000000,0.004652,0.000000,-0.000607,-0.000030,0.000000,0.006326,1,control,0.000607,0.630393,0.635398,0.635387,0.635360,0.635360,0.635360,0.005004,-0.000011,-0.000027,0.000000,0.000000,0.004966,-0.000000,0.000000,0.001000,-0.000000,-0.001011,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006326,demography,0.000027
