year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-3200,362085437.000000,0.075752,150881.000000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262,0.967170,0.903796,0.000000,0.000000
-3150,369455513.000000,0.076381,137017.000000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262,0.963898,0.899417,0.000000,0.000000
-3100,377957650.000000,0.077134,141881.500000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262,0.965183,0.897685,0.000000,0.000000
-3050,384722277.000000,0.078359,135433.000000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262,0.964788,0.903239,0.000000,0.000000
-3000,393741465.000000,0.078324,127534.500000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,262,0.967652,0.908429,0.000000,0.000000
-2950,398873231.000000,0.078302,128302.000000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,267,0.963432,0.901604,0.000000,0.000000
-2900,410228449.000000,0.081091,127250.000000,214.500000,0.000000,0.000000,0.019737,0.000000,0.000000,272,0.970262,0.920358,0.000000,0.000000
-2850,420081944.000000,0.080477,122073.500000,214.500000,0.000000,0.000000,0.032895,0.000000,0.000000,272,0.971371,0.920446,0.000000,0.000000
-2800,428800196.000000,0.080730,129787.500000,216.500000,0.000000,0.000000,0.046053,0.000000,0.000000,272,0.960672,0.890464,0.000000,0.000000
-2750,439111338.000000,0.081422,126646.000000,216.000000,0.000000,0.000000,0.045752,0.000000,0.000000,277,0.967671,0.905038,0.000000,0.000000
-2700,446967982.000000,0.081067,126069.000000,216.000000,0.000000,0.000000,0.045752,0.000000,0.000000,277,0.968295,0.915051,0.000000,0.000000
-2650,453948167.000000,0.082456,135817.000000,216.000000,0.000000,0.000000,0.052288,0.000000,0.000000,277,0.973268,0.924887,0.000000,0.000000
-2600,464166896.000000,0.083887,129605.000000,216.000000,0.000000,0.000000,0.052288,0.000000,0.000000,277,0.966913,0.913218,0.000000,0.000000
-2550,470148221.000000,0.085562,135672.500000,214.500000,0.000000,0.000000,0.058442,0.000000,0.000000,280,0.971649,0.913447,0.000000,0.000000
-2500,479886145.000000,0.086438,130393.500000,215.000000,0.000000,0.000000,0.070513,0.000000,0.000000,284,0.971814,0.918484,0.000000,0.000000
-2450,489902345.000000,0.086393,131488.000000,216.500000,0.000000,0.000000,0.070513,0.000000,0.000000,284,0.966223,0.903126,0.000000,0.000000
-2400,496692924.000000,0.088391,128089.000000,216.500000,0.000000,0.000000,0.083333,0.000000,0.000000,284,0.970190,0.910089,0.000000,0.000000
-2350,506011330.000000,0.087626,131912.500000,216.500000,0.000000,0.000000,0.096154,0.000000,0.000000,284,0.969080,0.919693,0.000000,0.000000
-2300,512703064.000000,0.089093,142766.500000,216.500000,0.000000,0.000000,0.096154,0.000000,0.000000,284,0.963499,0.893966,0.000000,0.000000
-2250,521856360.000000,0.090371,132726.000000,214.500000,0.000000,0.000000,0.101266,0.000000,0.000000,290,0.967672,0.907671,0.000000,0.000000
-2200,527534095.000000,0.091696,139341.500000,214.500000,0.000000,0.000000,0.107595,0.000000,0.000000,290,0.970228,0.918420,0.000000,0.000000
-2150,534603959.000000,0.092044,132487.500000,214.500000,0.000000,0.000000,0.107595,0.000000,0.000000,290,0.969128,0.914190,0.000000,0.000000
-2100,542275705.000000,0.093538,136085.500000,214.500000,0.000000,0.000000,0.107595,0.000000,0.000000,290,0.965265,0.902999,0.000000,0.000000
