year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,97,51,0,0,0,0,22969302.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998370,0.997700,0.608631,0.564500,80:0.989;20:0.989;40:0.989;39:0.996;11:0.997,11:0.545;85:0.549;32:0.549;6:0.550;35:0.552
-4950,99,64,8,19,8,8,29942687.000000,519150.000000,2295156.000000,519150.000000,669484.000000,0.017338,0.076652,0.017338,0.022359,0.905126,0.736300,0.655652,0.248400,81:0.004;39:0.006;35:0.009;50:0.155;64:0.241,81:0.004;39:0.006;64:0.009;99:0.011;35:0.014
-4900,106,46,26,51,26,40,34320828.000000,1790414.000000,7531954.000000,1790414.000000,4399351.000000,0.052167,0.219457,0.052167,0.128183,0.693583,0.009200,0.499102,0.012450,81:0.005;64:0.005;99:0.005;97:0.005;50:0.006,64:0.006;81:0.006;97:0.006;99:0.006;62:0.008
-4850,114,45,43,59,43,50,38821030.000000,3902795.000000,7579525.000000,3902795.000000,5660627.000000,0.100533,0.195243,0.100533,0.145813,0.604405,0.006950,0.468557,0.010040,81:0.005;38:0.005;99:0.005;64:0.005;97:0.005,81:0.006;64:0.006;99:0.007;97:0.007;90:0.008
-4800,114,49,47,59,47,55,43520889.000000,4286989.000000,6791054.000000,4286989.000000,6237236.000000,0.098504,0.156041,0.098504,0.143316,0.577331,0.007090,0.464382,0.011730,38:0.005;99:0.005;97:0.005;81:0.006;24:0.006,99:0.007;97:0.008;79:0.008;81:0.009;64:0.009
-4750,115,48,50,62,50,55,48979233.000000,4448843.000000,7748544.000000,4448843.000000,5894543.000000,0.090831,0.158201,0.090831,0.120348,0.560426,0.006440,0.460151,0.011180,79:0.004;38:0.005;97:0.005;99:0.005;81:0.006,79:0.008;97:0.008;99:0.009;62:0.009;80:0.009
-4700,119,49,54,68,54,59,54620367.000000,4862218.000000,9363002.000000,4862218.000000,6923694.000000,0.089018,0.171420,0.089018,0.126760,0.539440,0.007000,0.447323,0.011260,79:0.004;38:0.005;81:0.005;97:0.005;99:0.006,79:0.007;81:0.008;97:0.008;38:0.009;99:0.010
-4650,120,50,56,66,56,60,60751470.000000,5709698.000000,8367184.000000,5709698.000000,6761794.000000,0.093985,0.137728,0.093985,0.111303,0.531904,0.007370,0.446628,0.011880,79:0.004;38:0.005;97:0.005;80:0.006;81:0.006,79:0.007;80:0.008;97:0.008;81:0.009;38:0.009
-4600,121,52,58,64,58,59,67280895.000000,6730536.000000,7724762.000000,6730536.000000,7058949.000000,0.100036,0.114814,0.100036,0.104918,0.524541,0.007100,0.457881,0.011200,79:0.004;38:0.005;97:0.006;24:0.006;64:0.006,79:0.008;64:0.009;97:0.009;38:0.009;99:0.010
-4550,122,52,59,67,59,63,73468585.000000,6833928.000000,10154894.000000,6833928.000000,7875925.000000,0.093018,0.138221,0.093018,0.107201,0.520779,0.007400,0.445700,0.012310,38:0.005;81:0.006;99:0.006;24:0.006;97:0.006,79:0.008;38:0.009;81:0.009;99:0.009;97:0.010
-4500,124,53,60,68,60,63,80860683.000000,8026863.000000,9250080.000000,8026863.000000,8751522.000000,0.099268,0.114395,0.099268,0.108230,0.516177,0.007460,0.442609,0.012080,38:0.005;99:0.006;24:0.006;81:0.006;106:0.006,79:0.008;38:0.009;99:0.010;81:0.010;97:0.011
-4450,127,50,60,73,60,65,87527560.000000,7431620.000000,11242598.000000,7431620.000000,10051434.000000,0.084906,0.128446,0.084906,0.114837,0.511419,0.007760,0.426354,0.012380,79:0.004;99:0.006;81:0.006;106:0.006;19:0.006,79:0.008;38:0.010;99:0.010;81:0.011;97:0.011
-4400,127,51,63,75,63,63,94720688.000000,9671005.000000,16290422.000000,9671005.000000,9671005.000000,0.102100,0.171984,0.102100,0.102100,0.523001,0.007380,0.426946,0.011980,79:0.004;38:0.005;81:0.006;99:0.006;97:0.006,79:0.008;81:0.009;38:0.010;47:0.010;80:0.010
-4350,128,51,64,73,64,68,104120858.000000,10329989.000000,12148264.000000,10329989.000000,10933119.000000,0.099212,0.116675,0.099212,0.105004,0.516305,0.007410,0.426851,0.011470,79:0.004;38:0.005;99:0.006;81:0.006;97:0.006,79:0.008;38:0.009;81:0.010;99:0.010;97:0.010
-4300,128,53,64,74,64,69,113085890.000000,11341872.000000,13935118.000000,11341872.000000,12713433.000000,0.100294,0.123226,0.100294,0.112423,0.519102,0.007170,0.432280,0.011670,79:0.004;38:0.005;62:0.006;97:0.006;99:0.006,79:0.008;62:0.008;38:0.009;80:0.009;64:0.010
-4250,128,49,64,77,64,69,122216232.000000,11547673.000000,21294249.000000,11547673.000000,13788619.000000,0.094486,0.174234,0.094486,0.112822,0.503780,0.007600,0.406728,0.011970,79:0.004;38:0.005;81:0.006;99:0.006;97:0.006,79:0.008;81:0.009;99:0.009;38:0.009;64:0.010
-4200,128,49,66,77,66,76,132362897.000000,14077907.000000,23933853.000000,14077907.000000,21455393.000000,0.106358,0.180820,0.106358,0.162095,0.490202,0.007500,0.397883,0.011810,38:0.005;99:0.005;97:0.006;81:0.006;106:0.006,99:0.008;38:0.009;25:0.010;81:0.010;97:0.010
-4150,129,49,70,79,70,74,143576515.000000,20699185.000000,24486027.000000,20699185.000000,22979458.000000,0.144168,0.170543,0.144168,0.160050,0.473024,0.007300,0.402005,0.011200,79:0.004;38:0.005;99:0.005;97:0.006;80:0.006,79:0.008;99:0.008;38:0.009;97:0.009;80:0.009
-4100,130,49,73,80,73,73,156796607.000000,22484797.000000,29400443.000000,22484797.000000,22407201.000000,0.143401,0.187507,0.143401,0.142906,0.463036,0.006760,0.399905,0.009890,79:0.004;38:0.005;81:0.005;97:0.005;99:0.005,81:0.006;38:0.007;79:0.007;97:0.008;99:0.008
-4050,132,51,74,79,74,73,171941722.000000,23880213.000000,25908817.000000,23880213.000000,23743967.000000,0.138886,0.150684,0.138886,0.138093,0.457082,0.006900,0.399521,0.009420,79:0.004;38:0.005;97:0.005;80:0.005;81:0.005,80:0.007;97:0.007;79:0.007;21:0.008;38:0.008
-4000,133,52,74,79,74,77,188746468.000000,26683587.000000,28472834.000000,26683587.000000,27998634.000000,0.141373,0.150852,0.141373,0.148340,0.465920,0.007700,0.401682,0.010540,79:0.004;38:0.005;97:0.005;81:0.006;99:0.006,97:0.007;79:0.007;64:0.008;81:0.009;90:0.009
-3950,135,52,75,81,75,77,205984176.000000,29596963.000000,31749466.000000,29596963.000000,30252182.000000,0.143686,0.154135,0.143686,0.146867,0.464878,0.007400,0.396827,0.011580,79:0.004;38:0.005;81:0.005;99:0.005;64:0.006,79:0.008;64:0.008;81:0.008;99:0.008;38:0.009
-3900,137,52,75,83,75,81,226597431.000000,31748239.000000,40170229.000000,31748239.000000,38521914.000000,0.140109,0.177276,0.140109,0.170002,0.458372,0.007800,0.390023,0.011860,79:0.004;38:0.005;99:0.005;97:0.006;81:0.006,79:0.008;99:0.008;97:0.009;38:0.009;90:0.009
-3850,138,51,78,87,78,83,249988285.000000,36024509.000000,47019652.000000,36024509.000000,44650567.000000,0.144105,0.188087,0.144105,0.178611,0.445449,0.007800,0.384719,0.011900,79:0.004;38:0.005;97:0.005;99:0.005;81:0.006,79:0.008;38:0.008;97:0.008;99:0.008;62:0.009
-3800,138,51,81,86,81,84,277132245.000000,48575342.000000,51294704.000000,48575342.000000,49545429.000000,0.175279,0.185091,0.175279,0.178779,0.437330,0.007700,0.380275,0.010970,79:0.004;81:0.005;97:0.005;38:0.006;99:0.006,79:0.008;81:0.008;131:0.008;97:0.008;80:0.009
-3750,139,51,81,87,81,82,306873271.000000,53578527.000000,56478497.000000,53578527.000000,53877486.000000,0.174595,0.184045,0.174595,0.175569,0.439781,0.007700,0.384908,0.011860,79:0.004;97:0.006;99:0.006;81:0.006;106:0.006,79:0.008;38:0.009;97:0.009;25:0.010;81:0.010
-3700,140,50,81,89,81,84,339606171.000000,55870957.000000,80170303.000000,55870957.000000,77201810.000000,0.164517,0.236068,0.164517,0.227327,0.440841,0.007900,0.373878,0.013080,79:0.004;99:0.006;81:0.006;97:0.006;106:0.006,79:0.008;38:0.009;97:0.010;99:0.011;64:0.011
-3650,141,50,83,90,83,87,374943758.000000,74914106.000000,91029023.000000,74914106.000000,80673583.000000,0.199801,0.242780,0.199801,0.215162,0.439311,0.008000,0.371456,0.013100,79:0.004;99:0.006;81:0.006;97:0.006;106:0.006,79:0.008;38:0.009;81:0.010;99:0.010;97:0.011
-3600,142,50,82,90,82,86,414703384.000000,88735099.000000,103174339.000000,88735099.000000,89400479.000000,0.213972,0.248791,0.213972,0.215577,0.432479,0.008000,0.372773,0.012920,79:0.004;99:0.006;81:0.006;97:0.006;106:0.006,79:0.008;38:0.009;99:0.010;80:0.010;81:0.010
-3550,143,49,85,91,85,87,458286319.000000,98574449.000000,112428873.000000,98574449.000000,110825635.000000,0.215094,0.245325,0.215094,0.241826,0.429033,0.008000,0.362841,0.012740,79:0.004;38:0.006;99:0.006;81:0.006;97:0.006,79:0.008;38:0.009;99:0.009;81:0.010;97:0.010
