year,sum_field_population_all,sum_field_population_owned,sum_field_population_unowned
-4900,6873566.425,6873466.02,100.405
-4800,1531623.034,1531585.999,37.035
-4700,300034.628,300000.001,34.627
-4600,71111.627,71077,34.627
-4500,20133.627,20099,34.627
-4400,7660.627,7626,34.627
-4300,4680.627,4646,34.627
